isic_id,site
ISIC_3491559,New York2
ISIC_3622379,New York2
ISIC_2443008,New York2
ISIC_6892286,New York2
ISIC_1979534,New York2
ISIC_1033970,New York2
ISIC_3678711,New York2
ISIC_3954972,New York2
ISIC_9214649,New York2
ISIC_6688399,New York2
ISIC_9381247,New York2
ISIC_3056854,New York2
ISIC_9301005,New York2
ISIC_6594866,New York2
ISIC_4708741,New York2
ISIC_7755096,New York2
ISIC_3199142,New York2
ISIC_0429987,New York2
ISIC_0900188,New York2
ISIC_5901805,New York2
ISIC_9859873,New York2
ISIC_6721526,New York2
ISIC_4701313,New York2
ISIC_6190427,New York2
ISIC_6165660,New York2
ISIC_8645184,New York2
ISIC_1300267,New York2
ISIC_7166430,New York2
ISIC_5809270,New York2
ISIC_5855767,New York2
ISIC_5484708,New York2
ISIC_9038840,New York2
ISIC_8622942,New York2
ISIC_1822966,New York2
ISIC_0743395,New York2
ISIC_7809510,New York2
ISIC_2256331,New York2
ISIC_9274936,New York2
ISIC_6377613,New York2
ISIC_7097931,New York2
ISIC_2559263,New York2
ISIC_5905688,New York2
ISIC_5386182,New York2
ISIC_3206521,New York2
ISIC_9186977,New York2
ISIC_6119202,New York2
ISIC_7316506,New York2
ISIC_6900593,New York2
ISIC_9859134,New York2
ISIC_3567510,New York2
ISIC_1635827,New York2
ISIC_2304572,New York2
ISIC_6006602,New York2
ISIC_5926017,New York2
ISIC_6981855,New York2
ISIC_3992319,New York2
ISIC_7064613,New York2
ISIC_7246266,New York2
ISIC_2206284,New York2
ISIC_5176677,New York2
ISIC_1474512,New York2
ISIC_4511704,New York2
ISIC_7428306,New York2
ISIC_7549843,New York2
ISIC_0283070,New York2
ISIC_3339372,New York2
ISIC_7559316,New York2
ISIC_0465400,New York2
ISIC_3751908,New York2
ISIC_4457091,New York2
ISIC_0178370,New York2
ISIC_6730858,New York2
ISIC_9007451,New York2
ISIC_3563953,New York2
ISIC_9918922,New York2
ISIC_7175690,New York2
ISIC_4485499,New York2
ISIC_5588496,New York2
ISIC_9565804,New York2
ISIC_8851245,New York2
ISIC_4403481,New York2
ISIC_7299650,New York2
ISIC_0498990,New York2
ISIC_6668093,New York2
ISIC_7092052,New York2
ISIC_9881460,New York2
ISIC_3526376,New York2
ISIC_1423737,New York2
ISIC_9810784,New York2
ISIC_7461616,New York2
ISIC_4974820,New York2
ISIC_8320240,New York2
ISIC_0155910,New York2
ISIC_4454075,New York2
ISIC_3139292,New York2
ISIC_6397087,New York2
ISIC_5649739,New York2
ISIC_2355721,New York2
ISIC_1406593,New York2
ISIC_6279341,New York2
ISIC_9262713,New York2
ISIC_0984817,New York2
ISIC_3815982,New York2
ISIC_9406755,New York2
ISIC_5638751,New York2
ISIC_6616555,New York2
ISIC_4848011,New York2
ISIC_0390071,New York2
ISIC_9345697,New York2
ISIC_4470346,New York2
ISIC_5261089,New York2
ISIC_0282371,New York2
ISIC_1406434,New York2
ISIC_5003606,New York2
ISIC_1940620,New York2
ISIC_5367687,New York2
ISIC_0848012,New York2
ISIC_4810485,New York2
ISIC_5753627,New York2
ISIC_0510774,New York2
ISIC_1626055,New York2
ISIC_8044265,New York2
ISIC_9676056,New York2
ISIC_1776777,New York2
ISIC_3323866,New York2
ISIC_1789206,New York2
ISIC_7044414,New York2
ISIC_3654066,New York2
ISIC_4602463,New York2
ISIC_8671159,New York2
ISIC_9572761,New York2
ISIC_0991761,New York2
ISIC_1617848,New York2
ISIC_6813281,New York2
ISIC_2789443,New York2
ISIC_1112228,New York2
ISIC_0235696,New York2
ISIC_7252283,New York2
ISIC_9229047,New York2
ISIC_9595615,New York2
ISIC_0968773,New York2
ISIC_1748491,New York2
ISIC_0202119,New York2
ISIC_4835535,New York2
ISIC_1850674,New York2
ISIC_0908291,New York2
ISIC_6821316,New York2
ISIC_3685033,New York2
ISIC_4799999,New York2
ISIC_8576765,New York2
ISIC_6285871,New York2
ISIC_3565564,New York2
ISIC_5917274,New York2
ISIC_4170141,New York2
ISIC_2030748,New York2
ISIC_4201157,New York2
ISIC_2784325,New York2
ISIC_3477573,New York2
ISIC_9111281,New York2
ISIC_7680185,New York2
ISIC_6865666,New York2
ISIC_1358080,New York2
ISIC_8579352,New York2
ISIC_2194390,New York2
ISIC_5156491,New York2
ISIC_8256480,New York2
ISIC_4449211,New York2
ISIC_9611660,New York2
ISIC_9615486,New York2
ISIC_7399648,New York2
ISIC_1007406,New York2
ISIC_7944238,New York2
ISIC_1418323,New York2
ISIC_8069559,New York2
ISIC_0582421,New York2
ISIC_7988442,New York2
ISIC_0464270,New York2
ISIC_7170340,New York2
ISIC_9430639,New York2
ISIC_0475038,New York2
ISIC_2431690,New York2
ISIC_7043369,New York2
ISIC_7203426,New York2
ISIC_1540369,New York2
ISIC_2530060,New York2
ISIC_0657897,New York2
ISIC_9312051,New York2
ISIC_9286502,New York2
ISIC_6009572,New York2
ISIC_5438964,New York2
ISIC_2703002,New York2
ISIC_1569258,New York2
ISIC_9596388,New York2
ISIC_7747712,New York2
ISIC_0261253,New York2
ISIC_4094938,New York2
ISIC_4097868,New York2
ISIC_6119036,New York2
ISIC_7230249,New York2
ISIC_9179066,New York2
ISIC_7575957,New York2
ISIC_3425517,New York2
ISIC_0131983,New York2
ISIC_4731257,New York2
ISIC_6066990,New York2
ISIC_3364243,New York2
ISIC_3573097,New York2
ISIC_1736524,New York2
ISIC_5206639,New York2
ISIC_9733868,New York2
ISIC_9881690,New York2
ISIC_1498757,New York2
ISIC_4534593,New York2
ISIC_2010889,New York2
ISIC_7466734,New York2
ISIC_0080539,New York2
ISIC_2948772,New York2
ISIC_0614911,New York2
ISIC_7486585,New York2
ISIC_4515981,New York2
ISIC_8692144,New York2
ISIC_8233338,New York2
ISIC_6356149,New York2
ISIC_2149878,New York2
ISIC_8278458,New York2
ISIC_4615762,New York2
ISIC_4141315,New York2
ISIC_5490257,New York2
ISIC_8644015,New York2
ISIC_8082800,New York2
ISIC_3654052,New York2
ISIC_6453546,New York2
ISIC_5358568,New York2
ISIC_2358324,New York2
ISIC_5841709,New York2
ISIC_9631113,New York2
ISIC_1204654,New York2
ISIC_7976038,New York2
ISIC_8727700,New York2
ISIC_4487501,New York2
ISIC_4263716,New York2
ISIC_9812976,New York2
ISIC_3410585,New York2
ISIC_8438639,New York2
ISIC_7486070,New York2
ISIC_1236175,New York2
ISIC_5946133,New York2
ISIC_3594441,New York2
ISIC_3450746,New York2
ISIC_5626834,New York2
ISIC_6792899,New York2
ISIC_9689764,New York2
ISIC_2454870,New York2
ISIC_6369740,New York2
ISIC_2717192,New York2
ISIC_4787531,New York2
ISIC_2738580,New York2
ISIC_9330230,New York2
ISIC_8510848,New York2
ISIC_6099563,New York2
ISIC_9696289,New York2
ISIC_6674797,New York2
ISIC_0705477,New York2
ISIC_5683310,New York2
ISIC_4216320,New York2
ISIC_0665750,New York2
ISIC_2540746,New York2
ISIC_0098024,New York2
ISIC_6295235,New York2
ISIC_1718882,New York2
ISIC_3640326,New York2
ISIC_8609084,New York2
ISIC_0901635,New York2
ISIC_7482924,New York2
ISIC_7021797,New York2
ISIC_5651765,New York2
ISIC_0648545,New York2
ISIC_3162213,New York2
ISIC_9088073,New York2
ISIC_1536823,New York2
ISIC_9430252,New York2
ISIC_5671218,New York2
ISIC_7723219,New York2
ISIC_8907232,New York2
ISIC_9382025,New York2
ISIC_4465911,New York2
ISIC_7035975,New York2
ISIC_6473085,New York2
ISIC_2427899,New York2
ISIC_3561464,New York2
ISIC_6994680,New York2
ISIC_1620821,New York2
ISIC_1652988,New York2
ISIC_1693572,New York2
ISIC_7565477,New York2
ISIC_9829086,New York2
ISIC_3305055,New York2
ISIC_5943091,New York2
ISIC_9334835,New York2
ISIC_8191057,New York2
ISIC_1780008,New York2
ISIC_8460948,New York2
ISIC_8245615,New York2
ISIC_6958713,New York2
ISIC_4223497,New York2
ISIC_8430738,New York2
ISIC_1942883,New York2
ISIC_6620748,New York2
ISIC_4438999,New York2
ISIC_1467266,New York2
ISIC_0672006,New York2
ISIC_8172822,New York2
ISIC_4355015,New York2
ISIC_6556373,New York2
ISIC_2343627,New York2
ISIC_2806230,New York2
ISIC_0324472,New York2
ISIC_0555848,New York2
ISIC_5891587,New York2
ISIC_5314945,New York2
ISIC_8856365,New York2
ISIC_7564065,New York2
ISIC_7276156,New York2
ISIC_9705935,New York2
ISIC_9876659,New York2
ISIC_8482289,New York2
ISIC_1254469,New York2
ISIC_0807504,New York2
ISIC_8308321,New York2
ISIC_9599761,New York2
ISIC_8374889,New York2
ISIC_7336507,New York2
ISIC_0686366,New York2
ISIC_3958338,New York2
ISIC_3430886,New York2
ISIC_5493841,New York2
ISIC_0806140,New York2
ISIC_4724569,New York2
ISIC_7044973,New York2
ISIC_3591834,New York2
ISIC_0435215,New York2
ISIC_0134155,New York2
ISIC_2891360,New York2
ISIC_6414435,New York2
ISIC_1071362,New York2
ISIC_4190398,New York2
ISIC_2757332,New York2
ISIC_2418276,New York2
ISIC_4438982,New York2
ISIC_6959281,New York2
ISIC_6427430,New York2
ISIC_9729661,New York2
ISIC_4722397,New York2
ISIC_0923581,New York2
ISIC_1814941,New York2
ISIC_2003991,New York2
ISIC_1136731,New York2
ISIC_0773886,New York2
ISIC_1765228,New York2
ISIC_5809901,New York2
ISIC_8071637,New York2
ISIC_4854995,New York2
ISIC_7052280,New York2
ISIC_5564843,New York2
ISIC_9159477,New York2
ISIC_3875865,New York2
ISIC_3807635,New York2
ISIC_6008220,New York2
ISIC_6434212,New York2
ISIC_4270993,New York2
ISIC_2829582,New York2
ISIC_6059858,New York2
ISIC_4760917,New York2
ISIC_3658280,New York2
ISIC_4713713,New York2
ISIC_3004642,New York2
ISIC_3157754,New York2
ISIC_6135643,New York2
ISIC_2144549,New York2
ISIC_6823020,New York2
ISIC_5754023,New York2
ISIC_3077674,New York2
ISIC_1951839,New York2
ISIC_3058414,New York2
ISIC_4522789,New York2
ISIC_2256819,New York2
ISIC_7622188,New York2
ISIC_5080908,New York2
ISIC_5383985,New York2
ISIC_8176952,New York2
ISIC_8708918,New York2
ISIC_3468952,New York2
ISIC_1948710,New York2
ISIC_5744196,New York2
ISIC_1935453,New York2
ISIC_2504585,New York2
ISIC_1705827,New York2
ISIC_8633461,New York2
ISIC_8003201,New York2
ISIC_3069695,New York2
ISIC_8387580,New York2
ISIC_0928328,New York2
ISIC_1097830,New York2
ISIC_8476096,New York2
ISIC_7412327,New York2
ISIC_5309897,New York2
ISIC_7553497,New York2
ISIC_0292899,New York2
ISIC_0558656,New York2
ISIC_9363532,New York2
ISIC_4432308,New York2
ISIC_0346815,New York2
ISIC_5791954,New York2
ISIC_5390060,New York2
ISIC_4313479,New York2
ISIC_8152488,New York2
ISIC_4596521,New York2
ISIC_9431118,New York2
ISIC_1204130,New York2
ISIC_7509096,New York2
ISIC_3883666,New York2
ISIC_7275519,New York2
ISIC_4891461,New York2
ISIC_0820400,New York2
ISIC_2712088,New York2
ISIC_0206604,New York2
ISIC_4955345,New York2
ISIC_9071073,New York2
ISIC_9569039,New York2
ISIC_7779155,New York2
ISIC_2976456,New York2
ISIC_3962368,New York2
ISIC_5296963,New York2
ISIC_1708591,New York2
ISIC_1576116,New York2
ISIC_1403411,New York2
ISIC_6808448,New York2
ISIC_8141769,New York2
ISIC_6590224,New York2
ISIC_9128550,New York2
ISIC_3210973,New York2
ISIC_9799448,New York2
ISIC_9201946,New York2
ISIC_8088770,New York2
ISIC_9315277,New York2
ISIC_3031536,New York2
ISIC_8907509,New York2
ISIC_2238901,New York2
ISIC_3326332,New York2
ISIC_3783915,New York2
ISIC_5012399,New York2
ISIC_5858622,New York2
ISIC_6369189,New York2
ISIC_4438786,New York2
ISIC_0345607,New York2
ISIC_4676341,New York2
ISIC_8761348,New York2
ISIC_3060145,New York2
ISIC_7747165,New York2
ISIC_4441638,New York2
ISIC_4473151,New York2
ISIC_3740014,New York2
ISIC_8289408,New York2
ISIC_7576198,New York2
ISIC_9603587,New York2
ISIC_4534665,New York2
ISIC_2448897,New York2
ISIC_5212679,New York2
ISIC_9072639,New York2
ISIC_6634325,New York2
ISIC_7856735,New York2
ISIC_2663597,New York2
ISIC_1118807,New York2
ISIC_3785008,New York2
ISIC_0513012,New York2
ISIC_8671119,New York2
ISIC_8733345,New York2
ISIC_0375034,New York2
ISIC_7376121,New York2
ISIC_5377242,New York2
ISIC_8587544,New York2
